product_id,product_name,category,your_price,competitor_price,units_sold,discount_pct,customer_rating,cost_price,revenue,profit,segment,month
P037,Adidas Football Boots,Sports,3500,3800,160,0,4.6,2000,560000,240000,Luxury,Mar
P038,Cosco Swimming Goggles,Sports,450,500,580,10,4.0,180,234000,153000,Budget,Mar
P039,Reebok Gym Gloves,Sports,650,700,490,8,4.2,250,300300,196000,Mid-range,Mar
P040,Boldfit Whey Protein,Sports,1800,1900,310,5,4.4,900,531900,278100,Premium,Mar
P041,Lotus Herbals Sunscreen,Beauty,650,700,440,5,4.5,200,286000,198000,Mid-range,Jan
P042,Mamaearth Face Wash,Beauty,350,380,680,15,4.3,100,238000,170000,Budget,Jan
P043,Lakme Compact Powder,Beauty,280,250,790,10,3.9,80,221200,157900,Budget,Jan
P044,Forest Essentials Cream,Beauty,1200,1300,310,0,4.7,500,372000,217000,Premium,Feb
P045,Plum Vitamin C Serum,Beauty,550,600,490,8,4.4,180,269500,182700,Mid-range,Feb
P046,WOW Skin Science Shampoo,Beauty,400,420,620,10,4.2,130,222000,167400,Budget,Feb
P047,Biotique Bio Sunscreen,Beauty,250,280,850,15,4.0,70,212500,153000,Budget,Mar
P048,Kama Ayurveda Face Pack,Beauty,900,950,380,5,4.6,350,323100,209800,Mid-range,Mar
P049,The Moms Co Face Serum,Beauty,750,800,420,8,4.5,300,289800,189000,Mid-range,Mar
P050,Nykaa Kajal,Beauty,180,200,1100,10,4.1,50,178200,143000,Budget,Mar
P051,Atomic Habits,Books,320,290,610,5,4.8,80,195200,146200,Budget,Jan
P052,Rich Dad Poor Dad,Books,280,260,720,10,4.6,60,201600,158400,Budget,Jan
P053,The Psychology of Money,Books,350,320,590,5,4.7,90,206500,153500,Budget,Jan
P054,Ikigai,Books,299,275,680,8,4.5,75,203320,152820,Budget,Feb
P055,Zero to One,Books,399,370,540,0,4.6,100,215460,161460,Mid-range,Feb
P056,Deep Work - Cal Newport,Books,349,320,600,5,4.7,85,209400,158400,Budget,Feb
P057,The Alchemist,Books,250,230,780,10,4.8,55,180000,147300,Budget,Mar
P058,Sapiens - Yuval Harari,Books,450,420,560,5,4.7,110,239400,190400,Budget,Mar
P059,Think and Grow Rich,Books,199,180,820,15,4.4,45,138506,117770,Budget,Mar
P060,The Lean Startup,Books,380,350,570,8,4.6,90,199656,153006,Budget,Mar
